200 19900
0 1 69
0 2 329
0 3 390
0 4 73
0 5 309
0 6 359
0 7 99
0 8 37
0 9 9
0 10 154
0 11 249
0 12 104
0 13 134
0 14 134
0 15 49
0 16 91
0 17 155
0 18 368
0 19 147
0 20 369
0 21 330
0 22 101
0 23 47
0 24 189
0 25 198
0 26 250
0 27 191
0 28 104
0 29 234
0 30 164
0 31 98
0 32 254
0 33 93
0 34 87
0 35 326
0 36 353
0 37 397
0 38 376
0 39 389
0 40 358
0 41 130
0 42 237
0 43 61
0 44 215
0 45 322
0 46 61
0 47 305
0 48 29
0 49 28
0 50 51
0 51 349
0 52 357
0 53 103
0 54 395
0 55 98
0 56 300
0 57 244
0 58 240
0 59 3
0 60 29
0 61 4
0 62 101
0 63 282
0 64 48
0 65 139
0 66 160
0 67 352
0 68 136
0 69 135
0 70 340
0 71 93
0 72 216
0 73 128
0 74 105
0 75 30
0 76 50
0 77 165
0 78 286
0 79 30
0 80 144
0 81 336
0 82 378
0 83 101
0 84 39
0 85 372
0 86 150
0 87 290
0 88 168
0 89 389
0 90 293
0 91 196
0 92 344
0 93 345
0 94 30
0 95 391
0 96 83
0 97 141
0 98 342
0 99 170
0 100 227
0 101 233
0 102 262
0 103 43
0 104 361
0 105 318
0 106 24
0 107 362
0 108 82
0 109 310
0 110 391
0 111 226
0 112 197
0 113 368
0 114 278
0 115 235
0 116 291
0 117 27
0 118 125
0 119 58
0 120 15
0 121 369
0 122 206
0 123 359
0 124 313
0 125 187
0 126 301
0 127 347
0 128 327
0 129 195
0 130 117
0 131 153
0 132 379
0 133 330
0 134 147
0 135 291
0 136 248
0 137 171
0 138 252
0 139 281
0 140 32
0 141 194
0 142 58
0 143 228
0 144 113
0 145 287
0 146 15
0 147 356
0 148 313
0 149 91
0 150 13
0 151 280
0 152 11
0 153 170
0 154 190
0 155 275
0 156 356
0 157 42
0 158 221
0 159 234
0 160 188
0 161 289
0 162 339
0 163 167
0 164 171
0 165 85
0 166 57
0 167 18
0 168 207
0 169 261
0 170 250
0 171 238
0 172 6
0 173 260
0 174 18
0 175 119
0 176 146
0 177 384
0 178 74
0 179 59
0 180 74
0 181 38
0 182 290
0 183 84
